Time	Sum	Command
5591	284446	> builtin source /usr/share/fish/config.fish
74	74	-> set -g IFS \n\ \t
31	31	-> set -qg __fish_added_user_paths
39	39	-> or set -g __fish_added_user_paths
27	27	-> function __fish_default_command_not_found_handler...
60	60	-> set -g version $FISH_VERSION
36	2133	-> if status --is-interactive...
25	25	--> status --is-interactive
29	2072	--> if not contains -- "string" (builtin -n)...
1272	1442	---> not contains -- "string" (builtin -n)
170	170	----> builtin -n
52	601	---> if not set -q NVIM_LISTEN_ADDRESS...
36	36	----> not set -q NVIM_LISTEN_ADDRESS
32	32	----> and not set -q STY
66	66	----> and not string match -q -- 'eterm*' $TERM
131	415	----> and begin
                set -q KONSOLE_PROFILE_NAME # KDE's konsole
                or string match -q -- "*:*" $ITERM_SESSION_ID # Supporting versions of iTerm2 will include a colon here
                or string match -q -- "st-*" $TERM # suckless' st
                or test -n "$VTE_VERSION" -a "$VTE_VERSION" -ge 3600 # Should be all gtk3-vte-based terms after version 3.6.0.0
                or test "$COLORTERM" = truecolor -o "$COLORTERM" = 24bit # slang expects this
            end
31	31	-----> set -q KONSOLE_PROFILE_NAME
52	52	-----> or string match -q -- "*:*" $ITERM_SESSION_ID
55	55	-----> or string match -q -- "st-*" $TERM
76	76	-----> or test -n "$VTE_VERSION" -a "$VTE_VERSION" -ge 3600
70	70	-----> or test "$COLORTERM" = truecolor -o "$COLORTERM" = 24bit
314	314	-> set -l configdir ~/.config
21	53	-> if set -q XDG_CONFIG_HOME...
32	32	--> set -q XDG_CONFIG_HOME
266	266	-> set -l userdatadir ~/.local/share
18	49	-> if set -q XDG_DATA_HOME...
31	31	--> set -q XDG_DATA_HOME
38	38	-> set -l __extra_completionsdir
36	36	-> set -l __extra_functionsdir
35	35	-> set -l __extra_confdir
30	1171	-> if test -f $__fish_datadir/__fish_build_paths.fish...
302	302	--> test -f $__fish_datadir/__fish_build_paths.fish
705	839	--> source $__fish_datadir/__fish_build_paths.fish
50	50	---> set __extra_completionsdir /usr/share/fish/vendor_completions.d
47	47	---> set __extra_functionsdir /usr/share/fish/vendor_functions.d
37	37	---> set __extra_confdir /usr/share/fish/vendor_conf.d
26	170	-> if not set -q fish_function_path...
29	29	--> not set -q fish_function_path
115	115	--> set fish_function_path $configdir/fish/functions $__fish_sysconfdir/functions $__extra_functionsdir $__fish_datadir/functions
26	2440	-> if not contains -- $__fish_datadir/functions $fish_function_path...
2414	2414	--> not contains -- $__fish_datadir/functions $fish_function_path
33	3698	-> if not set -q fish_complete_path...
3514	3514	--> not set -q fish_complete_path
151	151	--> set fish_complete_path $configdir/fish/completions $__fish_sysconfdir/completions $__extra_completionsdir $__fish_datadir/completions $userdatadir/fish/generated_completions
17	111	-> if not contains -- $__fish_datadir/completions $fish_complete_path...
94	94	--> not contains -- $__fish_datadir/completions $fish_complete_path
22	2305	-> if test -d /usr/xpg4/bin...
2283	2283	--> test -d /usr/xpg4/bin
454	454	-> set -g __fish_tmp_path $PATH
22	22	-> function __fish_load_path_helper_paths...
501	501	-> test -r /etc/paths
393	393	-> for pathfile in /etc/paths.d/*...
576	576	-> set -xg PATH $__fish_tmp_path
45	45	-> set -e __fish_tmp_path
2005	2005	-> functions -e __fish_load_path_helper_paths
19	60	-> if set -q MANPATH...
41	41	--> set -q MANPATH
58	58	-> function __fish_reconstruct_path -d "Update PATH when fish_user_paths changes" --on-variable fish_user_paths...
420	1595	-> __fish_reconstruct_path
437	437	--> set -l local_path $PATH
21	21	--> for x in $__fish_added_user_paths...
50	50	--> set -g __fish_added_user_paths
30	99	--> if set -q fish_user_paths...
69	69	---> set -q fish_user_paths
568	568	--> set -xg PATH $local_path
50	50	-> function fish_sigtrap_handler --on-signal TRAP --no-scope-shadowing --description "Signal handler for the TRAP signal. Launches a debug prompt."...
22	22	-> function __fish_on_interactive --on-event fish_prompt...
31	31	-> function . --description 'Evaluate contents of file (deprecated, see "source")' --no-scope-shadowing...
3546	8650	-> __fish_set_locale
